draws,first_name,height,last_name,losses,reach,stance,url,weight,wins,fighter_id,SApM,SLpM,Str. Acc.,Str. Def,Sub. Avg.,TD Acc.,TD Avg.,TD Def.
0,Tateki,"5' 7""",Matsuda,7,"65.0""",Orthodox,3a524c6700addc24,125 lbs.,10,1673,3.43,3.20,34%,69%,0.0,0%,0.00,16%
5,Daijiro,"5' 9""",Matsui,24,--,Orthodox,cd42bbe8887bba90,200 lbs.,12,1674,1.69,0.84,45%,55%,0.4,30%,1.83,43%
1,Koichiro,"5' 7""",Matsumoto,3,--,,2fb6f197d1fbc779,145 lbs.,15,1675,3.50,1.90,26%,31%,0.0,0%,0.00,0%
11,Naoki,"5' 6""",Matsushita,15,--,Orthodox,990060b2a68a7b82,155 lbs.,12,1676,2.20,3.30,32%,63%,0.0,100%,1.50,0%
0,AJ,"5' 11""",Matthews,1,--,,18e4f61f16f458c6,185 lbs.,6,1677,4.96,5.11,52%,51%,0.0,0%,0.00,100%
0,Jake,"5' 11""",Matthews,3,"73.0""",Orthodox,a845f0735bc67405,170 lbs.,13,1678,2.21,3.01,47%,56%,0.8,40%,2.43,64%
0,Claudio,--,Mattos,4,--,Orthodox,6e2b1d631832921d,185 lbs.,5,1679,3.53,0.00,0%,0%,0.0,0%,0.00,0%
0,John,"6' 2""",Matua,4,--,Orthodox,c933d423ebdbbbdb,400 lbs.,1,1680,0.00,0.00,0%,0%,0.0,0%,0.00,0%
0,Francesco,--,Maturi,1,--,,d3b5ad3b15a64a18,--,0,1681,0.00,0.00,0%,0%,0.0,0%,0.00,0%
0,Vladimir,"6' 0""",Matyushenko,7,"74.0""",Orthodox,ccdd90bd1fc7dab6,205 lbs.,26,1682,1.62,1.90,44%,59%,0.1,46%,3.25,70%
0,Elaina,"5' 8""",Maxwell,4,--,Orthodox,a16ce18149021139,145 lbs.,6,1683,2.40,2.07,60%,53%,1.0,0%,0.00,50%
0,Jeremy,"6' 1""",May,8,--,,c32fdfe75cda5b22,185 lbs.,9,1684,0.00,0.00,0%,0%,0.0,0%,0.00,0%
0,Jack,"6' 8""",May,2,"79.0""",Switch,2c6e81426dd7573c,255 lbs.,7,1685,3.29,1.52,38%,33%,0.0,33%,0.91,20%
0,Don'Tale,"6' 6""",Mayes,1,"82.0""",Orthodox,1a9480fc288e55d7,260 lbs.,3,1686,3.17,1.20,30%,37%,0.0,0%,0.00,66%
1,Gray,"5' 9""",Maynard,7,"70.0""",Orthodox,7d96bc577e5178b2,145 lbs.,14,1687,2.41,1.91,32%,68%,0.7,47%,2.99,83%
0,Brooke,"5' 7""",Mayo,1,--,,1b41c21d947d6f2f,125 lbs.,0,1688,3.20,1.92,34%,63%,2.1,60%,3.20,0%
0,Gina,"5' 6""",Mazany,1,"68.0""",Southpaw,016a8d958883167c,135 lbs.,5,1689,1.79,2.34,56%,55%,0.0,71%,4.62,25%
0,Scott,"5' 8""",McAfee,4,--,Orthodox,7e7d81bf162a5ec1,155 lbs.,10,1690,1.33,0.00,0%,50%,0.0,0%,0.00,0%
