draws,first_name,height,last_name,losses,reach,stance,url,weight,wins,fighter_id
0,Reginaldo,"5' 7""",Vieira,5,"65.0""",,"f9081770e28ea2e1""",135 lbs.,14,2434
0,Ketlen,"5' 8""",Vieira,0,"68.0""",Orthodox,"b9706f80d005036c""",135 lbs.,10,2435
0,Steve,"5' 10""",Vigneault,6,--,Orthodox,"6888e31ce88f5b17""",185 lbs.,12,2436
0,Alejandro,"5' 7""",Villalobos,5,--,,"2e88f2030d8a928a""",145 lbs.,17,2437
0,Gian,"6' 3""",Villante,9,"76.0""",Orthodox,"fcd448a2fe1a23cc""",205 lbs.,16,2438
3,Ruben,"6' 4""",Villareal,23,--,Orthodox,"39f68882def7a507""",265 lbs.,19,2439
0,Pablo,"5' 7""",Villaseca,3,--,,"34f93dfbd43b2144""",155 lbs.,12,2440
0,Joey,"6' 0""",Villasenor,9,--,Orthodox,"15515e797aedc137""",185 lbs.,28,2441
0,Danillo,"6' 1""",Villefort,4,--,Orthodox,"fd87b1bbfcde9d5e""",185 lbs.,13,2442
0,Yuri,"6' 0""",Villefort,3,"73.0""",Orthodox,"0fb1e2694a39a02f""",170 lbs.,6,2443
1,Marcos,"5' 9""",Vinicius,6,"70.0""",Orthodox,"e363b21261814830""",125 lbs.,20,2444
0,Brandon,"5' 6""",Visher,3,"68.0""",Orthodox,"7c4ec656d8fcb867""",135 lbs.,13,2445
0,Falaniko,"5' 10""",Vitale,10,--,Orthodox,"445a98acb8985970""",185 lbs.,29,2446
0,Bobby,"6' 0""",Voelker,12,"75.0""",Orthodox,"fb8a3025ae722e64""",170 lbs.,24,2447
0,Alexander,"5' 6""",Volkanovski,1,"71.0""",Orthodox,"e1248941344b3288""",145 lbs.,17,2448
0,Jacob,"5' 9""",Volkmann,4,"71.0""",Southpaw,"6f81b6de2557739a""",155 lbs.,15,2449
0,Alexander,"6' 7""",Volkov,6,"80.0""",Orthodox,"279566840aa55bf2""",250 lbs.,30,2450
1,Jason,"6' 0""",Von Flue,12,--,Orthodox,"c4b9296214f4c09c""",170 lbs.,14,2451
1,Milco,--,Voorn,10,--,Orthodox,"277ffed20cf07aea""",220 lbs.,20,2452
1,Mark,"5' 10""",Vorgeas,3,--,,"ef0344ed552d8a22""",135 lbs.,5,2453
1,Igor,"5' 8""",Vovchanchyn,10,--,Orthodox,"7929be8290289a47""",205 lbs.,55,2454
0,James,"5' 10""",Wade,10,--,,"6291decf7f3b6608""",205 lbs.,4,2455
0,Chris,"5' 10""",Wade,3,"70.0""",Orthodox,"c8097968da5e5f13""",155 lbs.,12,2456
0,Neil,"5' 10""",Wain,3,--,Orthodox,"6b7bc7eaf2465387""",242 lbs.,10,2457
0,TJ,"5' 11""",Waldburger,9,"75.0""",Orthodox,"8f2939f5fd9cca1e""",170 lbs.,16,2458
0,Chase,"6' 1""",Waldon,2,"75.0""",Orthodox,"aeb6c57b9bd8bc3a""",185 lbs.,11,2459
0,Andre,"5' 11""",Walker,5,--,Southpaw,"18944a1a6ac1becf""",205 lbs.,1,2460
0,Donny,"5' 9""",Walker,8,--,,"e6147d5ab3685899""",135 lbs.,15,2461
1,Ben,"5' 10""",Wall,2,"73.0""",Orthodox,"1ad381c8994c4e5b""",155 lbs.,7,2462
1,Crafton,"6' 0""",Wallace,6,--,Orthodox,"bf41b5131545da12""",185 lbs.,18,2463
1,Rodney,"5' 9""",Wallace,4,"72.0""",Switch,"b9415726dc3ec526""",205 lbs.,11,2464
0,Jeremy,"5' 9""",Wallace,5,--,,"b87c3f460709f74c""",--,4,2465
0,Randall,"5' 11""",Wallace,6,"73.0""",Orthodox,"95cf6be9071e68b0""",185 lbs.,15,2466
0,Jimmy,"5' 10""",Wallhead,11,"73.0""",Orthodox,"0c670b443c3d269f""",170 lbs.,29,2467
0,Cory,"6' 0""",Walmsley,2,--,Orthodox,"83c6c3e0f8bde8ee""",205 lbs.,8,2468
0,Richard,"6' 0""",Walsh,6,"73.0""",,"303a05a7aa3ff761""",170 lbs.,9,2469
0,Patrick,"5' 11""",Walsh,3,"71.0""",,"b4c96c3d9139bf0e""",185 lbs.,5,2470
0,Erick,"6' 1""",Wanderlei,3,--,Orthodox,"d57e6a8971b6d2bd""",205 lbs.,3,2471
0,Dimitiri,--,Wanderley,2,--,Orthodox,"a1d6b308781aa2f5""",205 lbs.,5,2472
1,Andy,"5' 6""",Wang,8,--,Orthodox,"476414d2f18cd059""",155 lbs.,7,2473
1,Sai,"6' 0""",Wang,5,"72.0""",Southpaw,"efb9a43415a56d34""",170 lbs.,8,2474
0,Curt,"6' 0""",Warburton,3,"73.0""",Orthodox,"2721bb808bb2523c""",155 lbs.,7,2475
0,Brennan,"5' 10""",Ward,5,"71.0""",,"67cd6495280b0a57""",170 lbs.,14,2476
0,Charlie,"5' 11""",Ward,3,"73.0""",Orthodox,"e81dd0bb8a64b550""",170 lbs.,3,2477
0,Terrion,"5' 8""",Ware,8,"71.0""",Orthodox,"ba5e253af86db1a8""",135 lbs.,17,2478
0,Joe,"5' 6""",Warren,3,--,Orthodox,"c0c1bc0766df4c00""",135 lbs.,7,2479
1,Brian,"6' 0""",Warren,15,--,Orthodox,"c4c4c7dd26c15d91""",185 lbs.,15,2480
0,Merritt,"5' 10""",Warren,3,--,Southpaw,"1e47dba648ea438c""",155 lbs.,3,2481
0,Idris,"6' 0""",Wasi,14,--,,"8a19676a3388845a""",186 lbs.,2,2482
3,Kengo,"6' 4""",Watanabe,13,--,Orthodox,"2abe38b81d68a24a""",220 lbs.,8,2483
2,Ron,"6' 2""",Waterman,6,--,Orthodox,"efaf544314bb5c2e""",280 lbs.,16,2484
0,Dominic,"6' 1""",Waters,5,"79.0""",Orthodox,"2de91c2244ad7e89""",170 lbs.,9,2485
0,Michelle,"5' 3""",Waterson,6,"62.0""",Orthodox,"eb04b9d31e938edb""",115 lbs.,15,2486
0,Blake,--,Watkins,1,--,,"117580b232409824""",185 lbs.,5,2487
1,Kyle,"6' 0""",Watson,7,--,,"d7b2c0b53883ee80""",155 lbs.,13,2488
0,Maka,--,Watson,2,--,,"a31dfd9e8b2dc6ca""",155 lbs.,4,2489
0,Walel,"5' 11""",Watson,5,"69.0""",Orthodox,"92aafa8f4b26269b""",135 lbs.,9,2490
0,Tom,"6' 1""",Watson,9,"73.0""",Orthodox,"6809c31286b08d97""",185 lbs.,17,2491
0,Jonavin,"5' 10""",Webb,2,"71.0""",Orthodox,"f40ec51dd4de47c3""",170 lbs.,8,2492
1,Emil,"5' 11""",Meek,3,"74.0""",Switch,"103b06d8707895a9""",170 lbs.,9,2493
0,Daniel,"5' 10""",Weichel,9,"70.0""",,"7b9dade6bedaabbe""",145 lbs.,39,2494
0,Chris,"6' 2""",Weidman,3,"78.0""",Orthodox,"3a8176e15b9887c1""",185 lbs.,14,2495
1,Mark,"6' 2""",Weir,18,--,Southpaw,"9ccdd2ce45903f34""",185 lbs.,20,2496
0,Christian,"6' 2""",Wellisch,5,"77.0""",Orthodox,"f1b2a4365799c48b""",234 lbs.,8,2497
